Time,Ta_perp,Ta_par,n_a,va_x,va_y,va_z,Ta_perp_err,Ta_par_err,n_a_err,va_x_err,va_y_err,va_z_err,Status,np_beam
1975-03-15 00:00:12,1935776.5979314274,7924293.9814795945,1.4843015245869773,667.5492365595256,-12.30672927617843,-10.037309330626627,0.08584777817448407,0.3362898252250124,0.19838424886748462,0.02959718649795107,0.013195725703353128,0.05301740383387116,1,2.163756012468402
1975-03-15 00:00:53,3240536.143013819,5455379.883943316,1.2583108037056294,712.0790577891041,-51.58375249515066,-11.092419851952696,0.08950983408437578,0.2815043218524573,0.1666364134484241,0.08004675975264863,0.026328887618291805,0.026087534061239762,1,2.5515670407662565
1975-03-15 00:01:33,2603772.009376728,6187925.34424852,1.283091582630256,715.601941658281,-32.7770591806195,-16.715761867267357,0.08168595533922926,0.1841773815111473,0.12204408808923772,0.02044501281205078,0.00918221900007938,0.017610741865999344,1,1.505400886581166
1975-03-15 00:02:14,2784432.6007840317,4641550.195969578,0.8434379739115735,750.5675000961473,-48.40323172738434,-1.3133085536928284,0.09848027681306042,0.13666367437801646,0.1151909675568964,0.010979234854134934,0.016226169127727,0.02116487919287362,1,1.0150918457152331
1975-03-15 00:02:54,2152723.9077822706,3740210.282254707,0.8101674699506471,737.7387003479004,-43.28643782797782,-4.413538041155009,0.14178328668479565,0.22017266056299667,0.17303463226648133,0.01273820049868311,0.024993233038338086,0.028846065755889192,1,0.027647480706532106
1975-03-15 00:03:35,,,,,,,,,,,,,10,7.579307025908829
1975-03-15 00:04:15,1557149.5918178177,3843337.507198773,0.6397581870262822,764.2720728710945,-46.124957836407475,-8.092765060633287,0.09216052696486628,0.21545875555356153,0.14327287697015434,0.013591659540989707,0.01037124790102992,0.014185835293394029,1,2.926163804085091
1975-03-15 00:04:56,3075099.1975212293,11085183.777142296,1.910671658016778,653.1540924755268,-16.393755360169408,-23.14497303844348,0.1032771606423426,0.3808305171590276,0.21878381376585998,0.1571092334085778,0.01827157805564938,0.06153180211550523,1,1.2569398131851526
1975-03-15 00:05:36,,,,,,,,,,,,,10,2.0874028750696585
1975-03-15 00:06:17,2960310.4584672186,7548812.036446644,1.9880582318116349,647.0079363246723,-68.2904220801969,-21.77212834624425,0.0732102927566776,0.22323277942617065,0.13502958099126583,0.0951991386341809,0.012338517252731168,0.0309982495264087,1,2.296039038595384
