Time,va_z,Ta_perp_err,va_y_err,Ta_par,np_beam,va_x_err,n_a,Ta_perp,va_x,Status,va_y,Ta_par_err,va_z_err,n_a_err
1975-03-25 01:10:37,,,,,,,,,,4,,,,
1975-03-25 01:11:18,,,,,,,,,,4,,,,
1975-03-25 01:11:28,,,,,41.73602627311339,,,,,10,,,,
1975-03-25 01:12:08,,,,,7.464903359558495,,,,,10,,,,
1975-03-25 01:12:49,,,,,41.866292362764526,,,,,10,,,,
1975-03-25 01:13:29,,,,,7.42778455157393,,,,,10,,,,
1975-03-25 01:14:10,,,,,41.35215737873351,,,,,10,,,,
1975-03-25 01:14:50,20.136114519781884,0.12407151618828788,0.0056184973592394265,206144.38335355054,1.6962354269415076,0.02738703729304208,18.52290761478718,38299.55908509299,450.18229248060754,1,-18.86698745383365,0.35315485044776257,0.004438244039749258,0.7376415284611967
1975-03-25 01:15:31,8.116328150305016,0.06399879516140314,0.03839673335981616,95503.63714836266,3.2959919035499183,0.03859952079869189,1.7322627089055846,139246.65285466105,445.98570098615346,1,-23.084755640903253,0.053360207832814366,0.001916442327850444,0.06873642512304028
1975-03-25 01:16:11,17.914271516661973,0.15700540304510704,0.008266537780224537,278874.00607281877,2.017838960842754,0.2264368802359509,6.8617801095052045,46812.900353100864,447.89090271363136,1,-19.599197791906356,0.2876079571111994,0.0059456603896649455,0.6988010585310854
1975-03-25 01:16:52,6.90423622863728,0.04776557125650299,0.013024139352750092,86283.53935279376,2.638428013914793,0.03499140669560711,1.9386772842522688,133847.52931412208,443.5678590509264,1,-27.138645772327138,0.05395718426708506,0.0017550917789260745,0.058523218465617526
1975-03-25 01:17:32,5.782629209416657,0.05675642902824275,0.008609742031616066,478633.2744519707,1.6686505874674686,0.04101741704328089,2.237075646283346,136362.35588675906,429.6823786864266,1,-22.03434602934226,0.20692901225913415,0.008698867419054958,0.11969886395724755
1975-03-25 01:18:13,8.078634550714995,0.1131792137968353,0.02134700652715335,97713.39015745845,2.467231052125258,0.062407781742583955,1.7921119719089924,128107.58700488327,444.79244510516213,1,-27.53028681863131,0.07302596148285279,0.002555755119933209,0.13469316328041678
1975-03-25 01:18:53,6.5591151187042405,0.06061194249045488,0.009490420117692367,481337.0366350029,1.6193149869643082,0.028206634602941687,2.4558521474953787,133683.21350728426,426.7226696365971,1,-23.921558696395934,0.2684328261061722,0.01237370460934983,0.14826396870067765
1975-03-25 01:19:34,6.882161407042244,0.06608959729997758,0.015192139190917445,84751.53593606262,3.2694266671509973,0.059777315709201,1.7627813709720874,132202.71369133305,445.8043865176803,1,-25.391838414760223,0.06419626533352168,0.002265644626955597,0.075670737790511
1975-03-25 01:20:14,13.236147355398387,0.13554578655304425,0.007111496374523399,737189.2944904658,1.1126156536051774,0.17132299851827484,3.3317140109950265,83758.03585456099,432.3254782866706,1,-20.63342585832394,0.4033501517764493,0.021568848981690803,0.3309443590103697
1975-03-25 01:20:55,8.628415093491835,0.0603872051289908,0.012135130307033289,96253.37152295391,2.887427307781901,0.044392953046506894,1.794232040646186,154863.5340576799,445.2031186999911,1,-25.66408339902476,0.05699926456629803,0.0019593449064128636,0.06855095843889894
1975-03-25 01:21:35,8.14122155493149,0.13199480403193858,0.02056459813461311,114311.84995591705,0.7477553594115097,0.14201086304360855,1.4750712327123054,134654.41915785556,436.30715102908886,1,-25.93766860837691,0.123345119297701,0.002585693963542507,0.16825496080149707
1975-03-25 01:22:16,8.16795149222432,0.06506193291482235,0.008171099539243562,97358.72506693237,2.636260573973205,0.12625729248754372,1.8134766636369177,130283.22868662505,442.66600320560883,1,-27.880443116486568,0.05506762071378301,0.0016438281839415707,0.08038634587246273
1975-03-25 01:22:56,,,,,1.7408525025690156,,,,,9,,,,
1975-03-25 01:23:37,10.055894432903626,0.07936537833123232,0.007535530865736632,107951.58632904115,1.7254596060688248,0.14805093821609588,1.966105746279532,138846.64576966013,442.03265099831833,1,-27.444604173350584,0.05815800112077412,0.0016734986483712747,0.09774164619271739
1975-03-25 01:24:17,6.645904983546669,0.05604820810640486,0.005992657695223715,534288.0920316839,1.9441354200838088,0.162724755888196,3.4076676872331495,131905.85091308877,413.63388060598385,1,-24.108790597336238,0.3637989449139707,0.02913788216748027,0.21675474582126064
1975-03-25 01:24:58,13.139366679928553,0.10120636814392946,0.004994615210252656,109675.33583536747,3.2117787061652368,0.08252987074583623,2.2903347714428914,75169.6155274807,439.04659328583887,1,-31.547744591512732,0.05302216839608064,0.00184569260428052,0.23393985725127542
1975-03-25 01:25:38,7.2774449577831595,0.05448337970236108,0.00377754349424391,584436.4824013211,1.0022871751051394,0.02669159350664072,3.967928941192134,127085.10547436215,405.05786183317645,1,-21.80807487331772,0.3447119633694261,0.03704460004400315,0.2516846038004039
1975-03-25 01:26:19,10.0894158007037,0.08300368161585023,0.009850112151438526,102769.86014621577,2.3257443616426396,0.07779141105253509,1.8236665700282744,140585.32105605665,441.8940757063813,1,-25.454894567854865,0.07313979411264612,0.001977994058807894,0.10050687684752997
1975-03-25 01:26:59,11.42415525160111,0.1514237690552781,0.010269535048673376,639213.9900552321,1.6538217776263207,0.15954688198510752,3.0471252293799695,114918.74861283058,409.79324321014485,1,-24.170249870544495,0.6030021821680648,0.060816073517064674,0.36400203010414883
1975-03-25 01:27:40,8.108350181442718,0.07288088638238854,0.06188424436962581,121750.57037689746,2.8643178318373184,0.0073665756338305655,1.7692911734338785,138075.25496179916,440.9605825538358,1,-22.483988282469817,0.06760631052517015,0.0018527709295628613,0.07992482462815653
