1.30,1426619.0108270384
1.35,1498706.760450602
1.40,1574227.260056239
1.45,1639449.5097156535
1.50,1701239.0093929935
1.55,1759595.7590882597
1.60,1821385.2587655997
1.65,1876309.25847879
1.70,1931233.258191981
1.75,1986157.2579051722
1.80,2041081.2576183632
1.85,2089139.7573674056
1.90,2144063.7570805964
1.95,2192122.2568296385
2.00,2240180.756578681
2.05,2281373.7563635744
2.10,2329432.256112616
2.15,2374058.005879584
2.20,2418683.7556465515
2.25,2459876.755431445
2.30,2501069.7552163387
2.35,2542262.755001231
2.40,2583455.7547861245
2.45,2617783.254606869
2.50,2658976.2543917624
2.55,2693303.7542125066
2.60,2727631.254033251
2.65,2768824.253818144
2.70,2803151.7536388887
2.75,2834046.5034775585
2.80,2864941.2533162287
2.85,2895836.0031548985
2.90,2930163.502975643
2.95,2957625.5028322386
3.00,2988520.2526709083
3.05,3015982.252527504
3.10,3043444.2523840996
3.15,3067473.5022586207
3.20,3091502.7521331417
3.25,3115532.002007663
3.30,3139561.251882184
3.35,3163590.501756705
3.40,3187619.751631226
3.45,3208216.2515236726
3.50,3235678.251380268
3.55,3259707.501254789
3.60,3280304.0011472357
3.65,3300900.5010396824
